,importance
Model_Land Cruiser,0.0008158259
Make_MASERATI,0.00081046904
Model_RDX,0.00079477136
Series_DS (Single Rear Wheels),0.000792018
Trim_2500 LT,0.00078833976
Model_M3,0.00078768976
Model_Crown Victoria,0.000782175
Model_Grand Caravan,0.00077026826
Series2_Body Style: Hatchback Tall,0.0007694355
Series_Tradesman,0.00076646765
Trim_WRX,0.0007634175
Series_7-Series,0.00074546266
Trim_DELUXE,0.0007372066
Model_Taurus,0.00073137233
Series_Big Horn/Lonestar,0.0007312348
Model_GLA-Class,0.00073060987
SteeringLocation_Left-Hand Drive (LHD),0.0007265058
Series_ZRE172L,0.00072438025
Make_AUDI,0.00072296045
BodyCabType_Extra/Super/Quad/Double/King/Extended,0.0007225904
Model_S5,0.00072005903
Trim_AT4,0.00071144133
Series_KK,0.00071012304
Model_SL-Class,0.0007002918
Series_ST,0.0006987323
Make_LEXUS,0.0006980841
DriveType_2WD,0.0006970025
Trim_ESV,0.00069348677
Trim2_SR5 - CrewMax Short Bed/TRD Pro - CrewMax,0.0006934256
Trim_NC,0.00069122744
Series_Limited,0.000690668
Model_X6,0.00068756106
TPMS_Direct,0.00068483996
CAN_AACN_Not Available,0.00068195845
Model_F-150,0.00068190484
Make_TOYOTA,0.00067991175
Series2_Type 970,0.0006768268
Model_Granturismo,0.00067596184
DaytimeRunningLight_Not Available,0.0006754968
Make_CADILLAC,0.000674784
Trim_RS,0.0006732258
Doors,0.0006728363
Series_GRN280L/GRN285L,0.00067095214
Trim_Police,0.0006681332
ParkAssist_Standard,0.00066038617
Series_Tradesman (US) / ST,0.0006591006
Model_Transit,0.0006570867
Series_6-Series,0.0006562005
Trim_200t,0.0006552704
BlindSpotMon_Standard,0.00065262185
"GVWR_Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",0.0006473744
BodyClass_Minivan,0.00064694433
Series_GSJ15L/GSJ10L,0.00064614764
Model_Dakota,0.0006455063
Model_4-Runner,0.00064510625
Model_Grand Cherokee,0.00064430037
"GVWR_Class 1: 6,000 lb or less (2,722 kg or less)",0.0006428653
Trim_STI-S,0.0006388885
Series_ASU50L/GSU50L/GSU55L/GVU58L,0.00063700037
Model_Journey,0.0006361846
Model_Range Rover Sport,0.0006339152
Series_DH / Heavy Duty,0.0006328736
state_hi,0.00063122064
Model_XC90,0.0006270259
Trim_JK (Open Body),0.0006229908
Model_Silverado LD,0.0006220322
Trim_Laramie,0.0006209761
Trim_GT,0.00061892497
Trim_ST,0.0006181474
ParkAssist_Not Available,0.00061504904
region_flagstaff / sedona,0.00061102933
BodyClass_Convertible/Cabriolet,0.00060094305
Trim_Denali,0.0005992418
AirBagLocSeatCushion_1st Row (Driver and Passenger),0.00059580087
ForwardCollisionWarning_Standard,0.0005944162
AutoReverseSystem_Not Available,0.00059272634
Series_PREMIUM,0.00059201196
EngineHP_to,0.0005905322
ValveTrainDesign_Single Overhead Cam (SOHC),0.0005870218
region_hawaii,0.00058495946
Series2_Coupe Style,0.00058317377
region_fargo / moorhead,0.0005829423
Model_Sprinter,0.00058086804
region_appleton-oshkosh-FDL,0.00057992333
condition_fair,0.00057429605
Series_UPK51L/GSK51L/USK51L/USK52L/UPK56L/USK56L/USK57L,0.0005653255
TPMS_Indirect,0.00056404434
Model_Golf R,0.0005622189
Model_GX,0.0005604241
Series_Longhorn,0.0005602215
Series_5-series,0.00055963284
Make_DODGE,0.0005582894
Model_A-Class,0.00055586034
KeylessIgnition_Optional,0.0005542884
Model_GLC-Class,0.00055328576
state_wa,0.0005530747
Trim_JL (Open Body),0.0005503226
Trim_470,0.0005423729
Model_Range Rover Velar,0.00054157374
region_bend,0.0005393395
TransmissionStyle_Continuously Variable Transmission (CVT),0.0005359081
Make_INFINITI,0.0005330083
Model_Soul,0.00053291616
Model_Murano,0.00052640575
region_bellingham,0.00051861163
Model_Sienna,0.0005164595
region_sioux falls / SE SD,0.00051522284
ParkAssist_Optional,0.00051299966
Trim_SLE,0.00051208236
Trim_S,0.0005113516
DriveType_AWD,0.00051074964
TransmissionStyle_Automated Manual Transmission (AMT),0.00051036355
Series_1500 (1/2 Ton),0.0005083672
"Series_LX, S, SE",0.0005055844
Model_Armada,0.00050463516
Trim_Laredo,0.0005044328
Model_Navigator L,0.00050385593
Trim_Work Truck/Fleet/Base,0.0005032317
Model_G80,0.00050205004
Model_Tundra,0.00050081365
Model_Nautilus,0.00050008285
AirBagLocSide_All Rows,0.00049954746
Make_JAGUAR,0.0004931854
Trim_AMG,0.0004911161
FuelInjectionType_Stoichiometric Gasoline Direct Injection (SGDI),0.00049099704
"GVWR_Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",0.0004861747
Series_1/2 Ton,0.00048598665
state_wi,0.00048482174
Model_Ranger,0.00048449237
Make_FORD,0.00048276794
Model_Tucson,0.0004822541
Trim_SR,0.00048157954
Model_Excursion,0.00048121103
Trim_sDrive30i,0.00048020825
Model_NX,0.00047972266
Seats,0.00047785311
Series_I4 Coupe,0.00047330273
Model_Colorado,0.0004725297
Trim_Delux,0.0004714723
Series2_Wagon Body Type,0.00047123322
Series_Big Horn,0.00047083703
Trim_Deluxe,0.00046907936
state_sd,0.00046872575
CIB_Standard,0.0004680228
Series_Denali,0.0004671756
Model_Q50,0.00046578213
Model_CLS-Class,0.00046525634
FuelTypePrimary_Flexible Fuel Vehicle (FFV),0.00046445266
Series_GRN210L/GRN215L/UZN210L/UZN215L,0.00046327882
Model_Boxster,0.00046310268
AirBagLocCurtain_1st and 2nd Rows,0.00046155896
AdaptiveCruiseControl_Optional,0.0004607892
SemiautomaticHeadlampBeamSwitching_Optional,0.00045985432
Model_Challenger,0.00045689364
