iter	Passed	Remaining
404	8601	12636
405	8620	12612
406	8639	12588
407	8658	12563
408	8678	12539
409	8697	12516
410	8721	12498
411	8741	12475
412	8759	12449
413	8781	12429
414	8800	12405
415	8818	12380
416	8839	12358
417	8858	12334
418	8879	12312
419	8898	12288
420	8920	12267
421	8940	12245
422	8961	12223
423	8981	12201
424	9004	12182
425	9027	12164
426	9051	12146
427	9072	12124
428	9093	12103
429	9115	12082
430	9135	12060
431	9155	12037
432	9175	12015
433	9195	11992
434	9217	11972
435	9241	11955
436	9260	11930
437	9279	11906
438	9298	11882
439	9317	11859
440	9337	11835
441	9356	11812
442	9375	11788
443	9394	11764
444	9413	11740
445	9431	11715
446	9451	11693
447	9471	11670
448	9490	11646
449	9508	11621
450	9529	11600
451	9551	11580
452	9572	11559
453	9592	11536
454	9611	11512
455	9631	11490
456	9651	11467
457	9671	11445
458	9691	11422
459	9712	11401
460	9736	11383
461	9755	11360
462	9780	11343
463	9802	11323
464	9824	11303
465	9846	11283
466	9869	11264
467	9889	11242
468	9912	11222
469	9933	11201
470	9955	11181
471	9981	11165
472	10003	11145
473	10026	11126
474	10048	11106
475	10074	11089
476	10099	11073
477	10124	11056
478	10147	11037
479	10171	11019
480	10199	11004
481	10224	10988
482	10251	10973
483	10279	10959
484	10302	10939
485	10322	10916
486	10342	10894
487	10364	10874
488	10387	10854
489	10408	10833
490	10429	10811
491	10450	10790
492	10472	10769
493	10493	10748
494	10516	10729
495	10537	10707
496	10557	10684
497	10577	10662
498	10596	10639
499	10616	10616
500	10635	10593
501	10655	10570
502	10674	10547
503	10695	10525
504	10716	10504
505	10736	10481
506	10755	10458
507	10774	10435
508	10795	10413
509	10815	10391
510	10835	10368
511	10855	10346
512	10889	10337
513	10908	10314
514	10927	10290
515	10946	10268
516	10966	10245
517	10985	10221
518	11006	10200
519	11026	10178
520	11045	10155
521	11064	10131
522	11082	10107
523	11101	10084
524	11120	10061
525	11139	10037
526	11158	10014
527	11177	9991
528	11196	9968
529	11215	9946
530	11236	9924
531	11255	9901
532	11278	9881
533	11299	9860
534	11321	9839
535	11342	9818
536	11363	9797
537	11383	9775
538	11403	9753
539	11422	9730
540	11441	9707
541	11461	9685
542	11482	9664
543	11502	9641
544	11521	9619
545	11540	9595
546	11560	9574
547	11579	9551
548	11598	9528
549	11617	9505
550	11635	9481
551	11654	9458
552	11673	9436
553	11691	9412
554	11710	9389
555	11727	9365
556	11746	9342
557	11765	9319
558	11784	9297
559	11803	9273
560	11821	9250
561	11841	9228
562	11860	9205
563	11878	9182
564	11895	9158
565	11914	9136
566	11933	9113
567	11951	9090
568	11970	9067
569	11990	9045
570	12009	9023
571	12029	9001
572	12047	8977
573	12066	8955
574	12085	8932
575	12105	8910
576	12124	8888
577	12143	8865
578	12162	8843
579	12181	8821
580	12201	8799
581	12220	8776
582	12239	8754
583	12257	8731
584	12276	8709
585	12296	8687
586	12315	8665
587	12335	8643
588	12355	8621
589	12374	8599
590	12392	8576
591	12411	8553
592	12430	8531
593	12449	8509
594	12468	8487
595	12488	8465
596	12508	8443
597	12531	8424
598	12554	8404
599	12577	8385
600	12599	8364
601	12621	8344
602	12641	8322
603	12661	8301
604	12680	8279
605	12701	8258
606	12719	8235
607	12738	8212
608	12757	8190
609	12776	8168
610	12795	8146
611	12817	8126
612	12839	8106
613	12862	8086
614	12884	8066
615	12904	8044
616	12925	8023
617	12946	8002
618	12967	7981
619	12993	7963
620	13015	7943
621	13039	7924
622	13066	7906
623	13088	7886
624	13114	7868
625	13136	7848
626	13158	7827
627	13180	7807
628	13203	7787
629	13225	7767
630	13246	7746
631	13268	7726
632	13290	7705
633	13311	7684
634	13333	7664
635	13355	7643
636	13377	7623
637	13397	7601
638	13418	7580
639	13439	7559
640	13459	7538
641	13481	7517
642	13502	7496
643	13528	7478
644	13554	7460
645	13578	7440
646	13603	7422
647	13631	7404
648	13654	7384
649	13679	7365
650	13702	7345
651	13724	7325
652	13745	7304
653	13767	7283
654	13794	7265
655	13817	7245
656	13838	7224
657	13860	7203
658	13882	7183
659	13905	7163
660	13927	7142
661	13951	7123
662	13972	7102
663	13995	7082
664	14017	7061
665	14040	7041
666	14063	7021
667	14083	6999
668	14103	6977
669	14123	6956
670	14144	6935
671	14167	6915
672	14189	6894
673	14210	6873
674	14230	6851
675	14250	6829
676	14270	6808
677	14292	6787
678	14314	6767
679	14336	6746
680	14360	6726
681	14383	6706
682	14404	6685
683	14427	6665
684	14449	6644
685	14472	6624
686	14492	6602
687	14515	6582
688	14539	6562
689	14560	6541
690	14579	6519
691	14601	6499
692	14623	6478
693	14645	6457
694	14668	6437
695	14689	6416
696	14710	6395
697	14732	6374
698	14755	6354
699	14781	6334
700	14805	6315
701	14829	6295
702	14853	6275
703	14875	6254
704	14897	6233
705	14920	6213
706	14943	6193
707	14965	6172
708	14987	6151
709	15009	6130
710	15029	6109
711	15048	6087
712	15069	6065
713	15088	6044
714	15107	6021
715	15126	5999
716	15145	5977
717	15164	5956
718	15183	5934
719	15201	5911
720	15220	5889
721	15239	5867
722	15259	5846
723	15277	5824
724	15298	5802
725	15320	5782
726	15342	5761
727	15363	5740
728	15385	5719
729	15406	5698
730	15427	5677
731	15448	5655
732	15470	5635
733	15494	5615
734	15518	5595
735	15541	5574
736	15568	5555
737	15591	5535
738	15616	5515
739	15638	5494
740	15660	5473
741	15680	5452
742	15704	5432
743	15727	5411
744	15748	5390
745	15770	5369
746	15792	5348
747	15815	5328
748	15836	5306
749	15858	5286
750	15881	5265
751	15903	5244
752	15927	5224
753	15950	5203
754	15971	5182
755	15997	5163
756	16020	5142
757	16042	5121
758	16068	5102
759	16091	5081
760	16114	5060
761	16134	5039
762	16153	5017
763	16172	4995
764	16192	4974
765	16212	4952
766	16237	4932
767	16262	4912
768	16287	4892
769	16309	4871
770	16331	4850
771	16352	4829
772	16373	4808
773	16392	4786
774	16412	4764
775	16432	4743
776	16452	4721
777	16472	4700
778	16493	4679
779	16513	4657
780	16534	4636
781	16554	4615
782	16575	4593
783	16595	4572
784	16614	4550
785	16633	4528
786	16653	4507
787	16672	4485
788	16693	4464
789	16713	4442
790	16732	4421
791	16751	4399
792	16770	4377
793	16791	4356
794	16810	4334
795	16828	4312
796	16847	4291
797	16866	4269
798	16886	4247
799	16906	4226
800	16925	4204
801	16945	4183
802	16965	4162
803	16984	4140
804	17004	4119
805	17023	4097
806	17043	4076
807	17063	4054
808	17082	4033
809	17102	4011
810	17121	3990
811	17140	3968
812	17160	3947
813	17179	3925
814	17199	3904
815	17219	3882
816	17239	3861
817	17258	3839
818	17276	3818
819	17296	3796
820	17314	3775
821	17333	3753
